Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist,Nacionalidad
Bundesliga ,7,9/26/15,Away,Bayern Munich,1.FSV Mainz 05,0:3,CF,51',0:1,Header,Kingsley Coman,Polaco
Bundesliga ,7,9/26/15,Away,Bayern Munich,1.FSV Mainz 05,0:3,CF,63',0:2,Left-footed shot,Arturo Vidal,Polaco
Champions League ,Group Stage,9/29/15,Home,Bayern Munich,GNK Dinamo Zagreb,5:0,CF,22',2:0,Right-footed shot,Thiago,Polaco
Champions League ,Group Stage,9/29/15,Home,Bayern Munich,GNK Dinamo Zagreb,5:0,CF,28',4:0,Left-footed shot,Douglas Costa,Polaco
Champions League ,Group Stage,9/29/15,Home,Bayern Munich,GNK Dinamo Zagreb,5:0,CF,55',5:0,Right-footed shot,Thiago,Polaco
Bundesliga ,8,10/4/15,Home,Bayern Munich,Borussia Dortmund,5:1,CF,46',3:1,Right-footed shot,Jérôme Boateng,Polaco
Bundesliga ,8,10/4/15,Home,Bayern Munich,Borussia Dortmund,5:1,CF,58',4:1,Left-footed shot,Mario Götze,Polaco
Bundesliga ,10,10/24/15,Home,Bayern Munich,1. FC Köln,4:0,CF,63',3:0,Header,Douglas Costa,Polaco
Champions League ,Group Stage,11/4/15,Home,Bayern Munich,Arsenal FC,5:1,CF,10',1:0,Header,Thiago,Polaco
Bundesliga ,12,11/7/15,Home,Bayern Munich,VfB Stuttgart,4:0,CF,37',3:0,Right-footed shot,Thomas Müller,Polaco
Champions League ,Group Stage,11/24/15,Home,Bayern Munich,Olympiacos Piraeus,4:0,CF,16',2:0,Right-footed shot,Kingsley Coman,Polaco
Champions League ,Group Stage,12/9/15,Away,Bayern Munich,GNK Dinamo Zagreb,0:2,CF,61',0:1,Header,Thomas Müller,Polaco
Champions League ,Group Stage,12/9/15,Away,Bayern Munich,GNK Dinamo Zagreb,0:2,CF,64',0:2,Right-footed shot,Sebastian Rode,Polaco
Bundesliga ,16,12/12/15,Home,Bayern Munich,FC Ingolstadt 04,2:0,CF,65',1:0,Right-footed shot,Jérôme Boateng,Polaco
Bundesliga ,18,1/22/16,Away,Bayern Munich,Hamburger SV,1:2,CF,37',0:1,Penalty,Not Applicable,Polaco
Bundesliga ,18,1/22/16,Away,Bayern Munich,Hamburger SV,1:2,CF,61',1:2,Deflected shot on goal,Thomas Müller,Polaco
Bundesliga ,19,1/31/16,Home,Bayern Munich,TSG 1899 Hoffenheim,2:0,CF,32',1:0,Right-footed shot,Douglas Costa,Polaco
Bundesliga ,19,1/31/16,Home,Bayern Munich,TSG 1899 Hoffenheim,2:0,CF,64',2:0,Right-footed shot,Philipp Lahm,Polaco
DFB-Pokal ,Quarter-Finals,2/10/16,Away,Bayern Munich,VfL Bochum,0:3,CF,39',0:1,Right-footed shot,Thomas Müller,Polaco
DFB-Pokal ,Quarter-Finals,2/10/16,Away,Bayern Munich,VfL Bochum,0:3,CF,90',0:3,Right-footed shot,Arjen Robben,Polaco
Bundesliga ,21,2/14/16,Away,Bayern Munich,FC Augsburg,1:3,CF,15',0:1,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,21,2/14/16,Away,Bayern Munich,FC Augsburg,1:3,CF,62',0:2,Right-footed shot,Thiago,Polaco
Bundesliga ,22,2/20/16,Home,Bayern Munich,SV Darmstadt 98,3:1,CF,84',3:1,Right-footed shot,Franck Ribéry,Polaco
Bundesliga ,23,2/27/16,Away,Bayern Munich,VfL Wolfsburg,0:2,CF,74',0:2,Right-footed shot,Franck Ribéry,Polaco
Bundesliga ,26,3/12/16,Home,Bayern Munich,SV Werder Bremen,5:0,CF,86',4:0,Right-footed shot,Not Applicable,Polaco
Champions League ,last 16,3/16/16,Home,Bayern Munich,Juventus FC,4:2,CF,73',1:2,Header,Douglas Costa,Polaco
Bundesliga ,27,3/19/16,Away,Bayern Munich,1. FC Köln,0:1,CF,9',0:1,Right-footed shot,Not Applicable,Polaco
Bundesliga ,30,4/16/16,Home,Bayern Munich,FC Schalke 04,3:0,CF,54',1:0,Left-footed shot,Arturo Vidal,Polaco
Bundesliga ,30,4/16/16,Home,Bayern Munich,FC Schalke 04,3:0,CF,65',2:0,Header,Rafinha,Polaco
Champions League ,Semi-Finals,5/3/16,Home,Bayern Munich,Atlético de Madrid,2:1,CF,74',2:1,Header,Arturo Vidal,Polaco
Bundesliga ,33,5/7/16,Away,Bayern Munich,FC Ingolstadt 04,1:2,CF,15',0:1,Penalty,Not Applicable,Polaco
Bundesliga ,33,5/7/16,Away,Bayern Munich,FC Ingolstadt 04,1:2,CF,32',0:2,Right-footed shot,Xabi Alonso,Polaco
Bundesliga ,34,5/14/16,Home,Bayern Munich,Hannover 96,3:1,CF,12',1:0,Right-footed shot,Not Applicable,Polaco
DFB-Pokal ,First Round,8/19/16,Away,Bayern Munich,FC Carl Zeiss Jena,0:5,CF,3',0:1,Right-footed shot,Thomas Müller,Polaco
DFB-Pokal ,First Round,8/19/16,Away,Bayern Munich,FC Carl Zeiss Jena,0:5,CF,34',0:2,Right-footed shot,Franck Ribéry,Polaco
DFB-Pokal ,First Round,8/19/16,Away,Bayern Munich,FC Carl Zeiss Jena,0:5,CF,43',0:3,Right-footed shot,Franck Ribéry,Polaco
Bundesliga ,1,8/26/16,Home,Bayern Munich,SV Werder Bremen,6:0,CF,13',2:0,Right-footed shot,Not Applicable,Polaco
Bundesliga ,1,8/26/16,Home,Bayern Munich,SV Werder Bremen,6:0,CF,46',3:0,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,1,8/26/16,Home,Bayern Munich,SV Werder Bremen,6:0,CF,77',6:0,Penalty,Not Applicable,Polaco
Bundesliga ,2,9/9/16,Away,Bayern Munich,FC Schalke 04,0:2,CF,81',0:1,Right-footed shot,Javi Martínez,Polaco
Champions League ,Group Stage,9/13/16,Home,Bayern Munich,FK Rostov,5:0,CF,28',1:0,Penalty,Not Applicable,Polaco
Bundesliga ,3,9/17/16,Home,Bayern Munich,FC Ingolstadt 04,3:1,CF,13',1:1,Left-footed shot,Franck Ribéry,Polaco
Champions League ,Group Stage,10/19/16,Home,Bayern Munich,PSV Eindhoven,4:1,CF,59',3:1,Header,Arjen Robben,Polaco
Bundesliga ,9,10/29/16,Away,Bayern Munich,FC Augsburg,1:3,CF,19',0:1,Left-footed shot,Arjen Robben,Polaco
Bundesliga ,9,10/29/16,Away,Bayern Munich,FC Augsburg,1:3,CF,48',0:3,Right-footed shot,Arjen Robben,Polaco
Champions League ,Group Stage,11/1/16,Away,Bayern Munich,PSV Eindhoven,1:2,CF,34',1:1,Penalty,Not Applicable,Polaco
Champions League ,Group Stage,11/1/16,Away,Bayern Munich,PSV Eindhoven,1:2,CF,74',1:2,Right-footed shot,David Alaba,Polaco
Bundesliga ,13,12/2/16,Away,Bayern Munich,1.FSV Mainz 05,1:3,CF,8',1:1,Right-footed shot,Arjen Robben,Polaco
Bundesliga ,13,12/2/16,Away,Bayern Munich,1.FSV Mainz 05,1:3,CF,90',1:3,Direct free kick,Not Applicable,Polaco
Champions League ,Group Stage,12/6/16,Home,Bayern Munich,Atlético de Madrid,1:0,CF,28',1:0,Direct free kick,Not Applicable,Polaco
Bundesliga ,14,12/10/16,Home,Bayern Munich,VfL Wolfsburg,5:0,CF,22',2:0,Left-footed shot,Not Applicable,Polaco
Bundesliga ,14,12/10/16,Home,Bayern Munich,VfL Wolfsburg,5:0,CF,58',3:0,Left-footed shot,Thomas Müller,Polaco
Bundesliga ,16,12/21/16,Home,Bayern Munich,RB Leipzig,3:0,CF,44',3:0,Penalty,Not Applicable,Polaco
Bundesliga ,17,1/20/17,Away,Bayern Munich,SC Freiburg,1:2,CF,35',1:1,Left-footed shot,Douglas Costa,Polaco
Bundesliga ,17,1/20/17,Away,Bayern Munich,SC Freiburg,1:2,CF,90'+1,1:2,Left-footed shot,Franck Ribéry,Polaco
Bundesliga ,19,2/4/17,Home,Bayern Munich,FC Schalke 04,1:1,CF,9',1:0,Left-footed shot,Arturo Vidal,Polaco
Champions League ,last 16,2/15/17,Home,Bayern Munich,Arsenal FC,5:1,CF,53',2:1,Header,Philipp Lahm,Polaco
Bundesliga ,21,2/18/17,Away,Bayern Munich,Hertha BSC,1:1,CF,90'+6,1:1,Tap-in,Not Applicable,Polaco
Bundesliga ,22,2/25/17,Home,Bayern Munich,Hamburger SV,8:0,CF,24',2:0,Penalty,Not Applicable,Polaco
Bundesliga ,22,2/25/17,Home,Bayern Munich,Hamburger SV,8:0,CF,42',3:0,Right-footed shot,Douglas Costa,Polaco
Bundesliga ,22,2/25/17,Home,Bayern Munich,Hamburger SV,8:0,CF,54',4:0,Right-footed shot,Arjen Robben,Polaco
DFB-Pokal ,Quarter-Finals,3/1/17,Home,Bayern Munich,FC Schalke 04,3:0,CF,3',1:0,Left-footed shot,Franck Ribéry,Polaco
DFB-Pokal ,Quarter-Finals,3/1/17,Home,Bayern Munich,FC Schalke 04,3:0,CF,29',3:0,Right-footed shot,Franck Ribéry,Polaco
Champions League ,last 16,3/7/17,Away,Bayern Munich,Arsenal FC,1:5,CF,55',1:1,Penalty,Not Applicable,Polaco
Bundesliga ,24,3/11/17,Home,Bayern Munich,Eintracht Frankfurt,3:0,CF,38',1:0,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,24,3/11/17,Home,Bayern Munich,Eintracht Frankfurt,3:0,CF,55',3:0,Right-footed shot,Arjen Robben,Polaco
Bundesliga ,26,4/1/17,Home,Bayern Munich,FC Augsburg,6:0,CF,17',1:0,Left-footed shot,Thiago,Polaco
Bundesliga ,26,4/1/17,Home,Bayern Munich,FC Augsburg,6:0,CF,55',3:0,Right-footed shot,Franck Ribéry,Polaco
Bundesliga ,26,4/1/17,Home,Bayern Munich,FC Augsburg,6:0,CF,79',5:0,Header,Thomas Müller,Polaco
Bundesliga ,28,4/8/17,Home,Bayern Munich,Borussia Dortmund,4:1,CF,10',2:0,Direct free kick,Not Applicable,Polaco
Bundesliga ,28,4/8/17,Home,Bayern Munich,Borussia Dortmund,4:1,CF,68',4:1,Penalty,Not Applicable,Polaco
Champions League ,Quarter-Finals,4/18/17,Away,Bayern Munich,Real Madrid,4:2,CF,53',0:1,Penalty,Not Applicable,Polaco
Bundesliga ,31,4/29/17,Away,Bayern Munich,VfL Wolfsburg,0:6,CF,36',0:2,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,31,4/29/17,Away,Bayern Munich,VfL Wolfsburg,0:6,CF,45',0:3,Left-footed shot,Kingsley Coman,Polaco
Bundesliga ,33,5/13/17,Away,Bayern Munich,RB Leipzig,4:5,CF,17',1:1,Penalty,Not Applicable,Polaco
Bundesliga ,33,5/13/17,Away,Bayern Munich,RB Leipzig,4:5,CF,84',4:3,Header,Arjen Robben,Polaco
DFL-Supercup ,Final,8/5/17,Away,Bayern Munich,Borussia Dortmund,6:7,CF,18',1:1,Right-footed shot,Joshua Kimmich,Polaco
DFB-Pokal ,First Round,8/12/17,Away,Bayern Munich,Chemnitzer FC,0:5,CF,20',0:1,Direct free kick,Not Applicable,Polaco
DFB-Pokal ,First Round,8/12/17,Away,Bayern Munich,Chemnitzer FC,0:5,CF,60',0:3,Right-footed shot,Corentin Tolisso,Polaco
Bundesliga ,1,8/18/17,Home,Bayern Munich,Bayer 04 Leverkusen,3:1,CF,53',3:0,Penalty,Not Applicable,Polaco
Bundesliga ,2,8/26/17,Away,Bayern Munich,SV Werder Bremen,0:2,CF,72',0:1,Right-footed shot,Kingsley Coman,Polaco
Bundesliga ,2,8/26/17,Away,Bayern Munich,SV Werder Bremen,0:2,CF,75',0:2,Left-footed shot,Not Applicable,Polaco
Champions League ,Group Stage,9/12/17,Home,Bayern Munich,RSC Anderlecht,3:0,CF,12',1:0,Penalty,Not Applicable,Polaco
Bundesliga ,4,9/16/17,Home,Bayern Munich,1.FSV Mainz 05,4:0,CF,50',3:0,Left-footed shot,Thomas Müller,Polaco
Bundesliga ,4,9/16/17,Home,Bayern Munich,1.FSV Mainz 05,4:0,CF,77',4:0,Header,Joshua Kimmich,Polaco
Bundesliga ,5,9/19/17,Away,Bayern Munich,FC Schalke 04,0:3,CF,25',0:1,Penalty,Not Applicable,Polaco
Bundesliga ,6,9/22/17,Home,Bayern Munich,VfL Wolfsburg,2:2,CF,33',1:0,Penalty,Not Applicable,Polaco
Bundesliga ,7,10/1/17,Away,Bayern Munich,Hertha BSC,2:2,CF,49',0:2,Left-footed shot,Corentin Tolisso,Polaco
Bundesliga ,8,10/14/17,Home,Bayern Munich,SC Freiburg,5:0,CF,75',4:0,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,10,10/28/17,Home,Bayern Munich,RB Leipzig,2:0,CF,38',2:0,Right-footed shot,Javi Martínez,Polaco
Bundesliga ,11,11/4/17,Away,Bayern Munich,Borussia Dortmund,1:3,CF,37',0:2,Right-footed shot,Joshua Kimmich,Polaco
Bundesliga ,12,11/18/17,Home,Bayern Munich,FC Augsburg,3:0,CF,38',2:0,Right-footed shot,Arturo Vidal,Polaco
Bundesliga ,12,11/18/17,Home,Bayern Munich,FC Augsburg,3:0,CF,49',3:0,Left-footed shot,Joshua Kimmich,Polaco
Champions League ,Group Stage,11/22/17,Away,Bayern Munich,RSC Anderlecht,1:2,CF,51',0:1,Right-footed shot,Corentin Tolisso,Polaco
Bundesliga ,14,12/2/17,Home,Bayern Munich,Hannover 96,3:1,CF,87',3:1,Penalty,Not Applicable,Polaco
Champions League ,Group Stage,12/5/17,Home,Bayern Munich,Paris Saint-Germain,3:1,CF,8',1:0,Left-footed shot,Kingsley Coman,Polaco
Bundesliga ,16,12/13/17,Home,Bayern Munich,1. FC Köln,1:0,CF,60',1:0,Left-footed shot,Thomas Müller,Polaco
Bundesliga ,19,1/21/18,Home,Bayern Munich,SV Werder Bremen,4:2,CF,63',2:1,Header,James Rodríguez,Polaco
Bundesliga ,19,1/21/18,Home,Bayern Munich,SV Werder Bremen,4:2,CF,76',3:2,Header,Thomas Müller,Polaco
Bundesliga ,20,1/27/18,Home,Bayern Munich,TSG 1899 Hoffenheim,5:2,CF,20',1:2,Left-footed shot,Joshua Kimmich,Polaco
DFB-Pokal ,Quarter-Finals,2/6/18,Away,Bayern Munich,SC Paderborn 07,0:6,CF,25',0:2,Right-footed shot,Kingsley Coman,Polaco
Bundesliga ,22,2/10/18,Home,Bayern Munich,FC Schalke 04,2:1,CF,6',1:0,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,23,2/17/18,Away,Bayern Munich,VfL Wolfsburg,1:2,CF,90'+1,1:2,Penalty,Not Applicable,Polaco
Champions League ,last 16,2/20/18,Home,Bayern Munich,Besiktas JK,5:0,CF,79',4:0,Left-footed shot,Mats Hummels,Polaco
Champions League ,last 16,2/20/18,Home,Bayern Munich,Besiktas JK,5:0,CF,88',5:0,Left-footed shot,Thomas Müller,Polaco
Bundesliga ,26,3/10/18,Home,Bayern Munich,Hamburger SV,6:0,CF,12',2:0,Header,Joshua Kimmich,Polaco
Bundesliga ,26,3/10/18,Home,Bayern Munich,Hamburger SV,6:0,CF,19',3:0,Right-footed shot,David Alaba,Polaco
Bundesliga ,26,3/10/18,Home,Bayern Munich,Hamburger SV,6:0,CF,90',6:0,Penalty,Not Applicable,Polaco
Bundesliga ,28,3/31/18,Home,Bayern Munich,Borussia Dortmund,6:0,CF,5',1:0,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,28,3/31/18,Home,Bayern Munich,Borussia Dortmund,6:0,CF,44',4:0,Right-footed shot,Franck Ribéry,Polaco
Bundesliga ,28,3/31/18,Home,Bayern Munich,Borussia Dortmund,6:0,CF,87',6:0,Right-footed shot,Joshua Kimmich,Polaco
Bundesliga ,30,4/14/18,Home,Bayern Munich,Borussia Mönchengladbach,5:1,CF,82',5:1,Right-footed shot,Not Applicable,Polaco
DFB-Pokal ,Semi-Finals,4/17/18,Away,Bayern Munich,Bayer 04 Leverkusen,2:6,CF,3',0:1,Left-footed shot,Javi Martínez,Polaco
DFB-Pokal ,Semi-Finals,4/17/18,Away,Bayern Munich,Bayer 04 Leverkusen,2:6,CF,9',0:2,Right-footed shot,Franck Ribéry,Polaco
Bundesliga ,31,4/21/18,Away,Bayern Munich,Hannover 96,0:3,CF,73',0:2,Header,Sebastian Rudy,Polaco
Bundesliga ,33,5/5/18,Away,Bayern Munich,1. FC Köln,1:3,CF,61',1:2,Right-footed shot,Thomas Müller,Polaco
DFB-Pokal ,Final,5/19/18,Home,Bayern Munich,Eintracht Frankfurt,1:3,CF,53',1:1,Left-footed shot,Joshua Kimmich,Polaco
DFL-Supercup ,Final,8/12/18,Away,Bayern Munich,Eintracht Frankfurt,0:5,CF,21',0:1,Header,Joshua Kimmich,Polaco
DFL-Supercup ,Final,8/12/18,Away,Bayern Munich,Eintracht Frankfurt,0:5,CF,26',0:2,Header,Arjen Robben,Polaco
DFL-Supercup ,Final,8/12/18,Away,Bayern Munich,Eintracht Frankfurt,0:5,CF,54',0:3,Left-footed shot,Thomas Müller,Polaco
DFB-Pokal ,First Round,8/18/18,Away,Bayern Munich,SV Drochtersen/Assel,0:1,CF,81',0:1,Left-footed shot,Leon Goretzka,Polaco
Bundesliga ,1,8/24/18,Home,Bayern Munich,TSG 1899 Hoffenheim,3:1,CF,82',2:1,Penalty,Not Applicable,Polaco
Bundesliga ,2,9/1/18,Away,Bayern Munich,VfB Stuttgart,0:3,CF,62',0:2,Left-footed shot,Leon Goretzka,Polaco
Champions League ,Group Stage,9/19/18,Away,Bayern Munich,SL Benfica,0:2,CF,10',0:1,Right-footed shot,David Alaba,Polaco
Bundesliga ,4,9/22/18,Away,Bayern Munich,FC Schalke 04,0:2,CF,64',0:2,Penalty,Not Applicable,Polaco
Bundesliga ,8,10/20/18,Away,Bayern Munich,VfL Wolfsburg,1:3,CF,30',0:1,Right-footed shot,Mats Hummels,Polaco
Bundesliga ,8,10/20/18,Away,Bayern Munich,VfL Wolfsburg,1:3,CF,49',0:2,Right-footed shot,Not Applicable,Polaco
Champions League ,Group Stage,10/23/18,Away,Bayern Munich,AEK Athens,0:2,CF,63',0:2,Right-footed shot,Rafinha,Polaco
Champions League ,Group Stage,11/7/18,Home,Bayern Munich,AEK Athens,2:0,CF,31',1:0,Penalty,Not Applicable,Polaco
Champions League ,Group Stage,11/7/18,Home,Bayern Munich,AEK Athens,2:0,CF,71',2:0,Right-footed shot,Not Applicable,Polaco
Bundesliga ,11,11/10/18,Away,Bayern Munich,Borussia Dortmund,3:2,CF,26',0:1,Header,Serge Gnabry,Polaco
Bundesliga ,11,11/10/18,Away,Bayern Munich,Borussia Dortmund,3:2,CF,52',1:2,Header,Joshua Kimmich,Polaco
Champions League ,Group Stage,11/27/18,Home,Bayern Munich,SL Benfica,5:1,CF,36',3:0,Header,Joshua Kimmich,Polaco
Champions League ,Group Stage,11/27/18,Home,Bayern Munich,SL Benfica,5:1,CF,51',4:1,Header,Joshua Kimmich,Polaco
Bundesliga ,14,12/8/18,Home,Bayern Munich,1.FC Nuremberg,3:0,CF,9',1:0,Header,Joshua Kimmich,Polaco
Bundesliga ,14,12/8/18,Home,Bayern Munich,1.FC Nuremberg,3:0,CF,27',2:0,Right-footed shot,Leon Goretzka,Polaco
Champions League ,Group Stage,12/12/18,Away,Bayern Munich,Ajax Amsterdam,3:3,CF,13',0:1,Right-footed shot,Serge Gnabry,Polaco
Champions League ,Group Stage,12/12/18,Away,Bayern Munich,Ajax Amsterdam,3:3,CF,87',2:2,Penalty,Not Applicable,Polaco
Bundesliga ,15,12/15/18,Away,Bayern Munich,Hannover 96,0:4,CF,62',0:4,Header,Joshua Kimmich,Polaco
Bundesliga ,18,1/18/19,Away,Bayern Munich,TSG 1899 Hoffenheim,1:3,CF,87',1:3,Left-footed shot,Thomas Müller,Polaco
Bundesliga ,19,1/27/19,Home,Bayern Munich,VfB Stuttgart,4:1,CF,85',4:1,Right-footed shot,Joshua Kimmich,Polaco
Bundesliga ,21,2/9/19,Home,Bayern Munich,FC Schalke 04,3:1,CF,27',2:1,Right-footed shot,James Rodríguez,Polaco
Bundesliga ,24,3/2/19,Away,Bayern Munich,Borussia Mönchengladbach,1:5,CF,47',1:3,Right-footed shot,Thiago,Polaco
Bundesliga ,24,3/2/19,Away,Bayern Munich,Borussia Mönchengladbach,1:5,CF,90'+1,1:5,Penalty,Not Applicable,Polaco
Bundesliga ,25,3/9/19,Home,Bayern Munich,VfL Wolfsburg,6:0,CF,37',2:0,Right-footed shot,Serge Gnabry,Polaco
Bundesliga ,25,3/9/19,Home,Bayern Munich,VfL Wolfsburg,6:0,CF,85',6:0,Header,Franck Ribéry,Polaco
Bundesliga ,26,3/17/19,Home,Bayern Munich,1.FSV Mainz 05,6:0,CF,3',1:0,Right-footed shot,David Alaba,Polaco
Bundesliga ,27,3/30/19,Away,Bayern Munich,SC Freiburg,1:1,CF,22',1:1,Left-footed shot,Leon Goretzka,Polaco
DFB-Pokal ,Quarter-Finals,4/3/19,Home,Bayern Munich,1.FC Heidenheim 1846,5:4,CF,56',3:2,Right-footed shot,Thomas Müller,Polaco
DFB-Pokal ,Quarter-Finals,4/3/19,Home,Bayern Munich,1.FC Heidenheim 1846,5:4,CF,84',5:4,Penalty,Not Applicable,Polaco
Bundesliga ,28,4/6/19,Home,Bayern Munich,Borussia Dortmund,5:0,CF,17',2:0,Right-footed shot,Not Applicable,Polaco
Bundesliga ,28,4/6/19,Home,Bayern Munich,Borussia Dortmund,5:0,CF,89',5:0,Right-footed shot,Serge Gnabry,Polaco
DFB-Pokal ,Semi-Finals,4/24/19,Away,Bayern Munich,SV Werder Bremen,2:3,CF,36',0:1,Right-footed shot,Thomas Müller,Polaco
DFB-Pokal ,Semi-Finals,4/24/19,Away,Bayern Munich,SV Werder Bremen,2:3,CF,80',2:3,Penalty,Not Applicable,Polaco
Bundesliga ,32,5/4/19,Home,Bayern Munich,Hannover 96,3:1,CF,27',1:0,Header,Joshua Kimmich,Polaco
DFB-Pokal ,Final,5/25/19,Away,Bayern Munich,RB Leipzig,0:3,CF,29',0:1,Header,David Alaba,Polaco
DFB-Pokal ,Final,5/25/19,Away,Bayern Munich,RB Leipzig,0:3,CF,85',0:3,Left-footed shot,Joshua Kimmich,Polaco
DFB-Pokal ,First Round,8/12/19,Away,Bayern Munich,FC Energie Cottbus,1:3,CF,32',0:1,Tap-in,Kingsley Coman,Polaco
Bundesliga ,1,8/16/19,Home,Bayern Munich,Hertha BSC,2:2,CF,24',1:0,Left-footed shot,Serge Gnabry,Polaco
Bundesliga ,1,8/16/19,Home,Bayern Munich,Hertha BSC,2:2,CF,60',2:2,Penalty,Not Applicable,Polaco
Bundesliga ,2,8/24/19,Away,Bayern Munich,FC Schalke 04,0:3,CF,20',0:1,Penalty,Not Applicable,Polaco
Bundesliga ,2,8/24/19,Away,Bayern Munich,FC Schalke 04,0:3,CF,50',0:2,Direct free kick,Not Applicable,Polaco
Bundesliga ,2,8/24/19,Away,Bayern Munich,FC Schalke 04,0:3,CF,75',0:3,Right-footed shot,Kingsley Coman,Polaco
Bundesliga ,3,8/31/19,Home,Bayern Munich,1.FSV Mainz 05,6:1,CF,78',5:1,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,4,9/14/19,Away,Bayern Munich,RB Leipzig,1:1,CF,3',0:1,Right-footed shot,Thomas Müller,Polaco
Champions League ,Group Stage,9/18/19,Home,Bayern Munich,Red Star Belgrade,3:0,CF,80',2:0,Right-footed shot,Not Applicable,Polaco
Bundesliga ,5,9/21/19,Home,Bayern Munich,1. FC Köln,4:0,CF,3',1:0,Right-footed shot,Joshua Kimmich,Polaco
Bundesliga ,5,9/21/19,Home,Bayern Munich,1. FC Köln,4:0,CF,48',2:0,Header,Joshua Kimmich,Polaco
Bundesliga ,6,9/28/19,Away,Bayern Munich,SC Paderborn 07,2:3,CF,79',1:3,Right-footed shot,Niklas Süle,Polaco
Champions League ,Group Stage,10/1/19,Away,Bayern Munich,Tottenham Hotspur,2:7,CF,45',1:2,Right-footed shot,Serge Gnabry,Polaco
Champions League ,Group Stage,10/1/19,Away,Bayern Munich,Tottenham Hotspur,2:7,CF,87',2:6,Right-footed shot,Philippe Coutinho,Polaco
Bundesliga ,7,10/5/19,Home,Bayern Munich,TSG 1899 Hoffenheim,1:2,CF,73',1:1,Header,Thomas Müller,Polaco
Bundesliga ,8,10/19/19,Away,Bayern Munich,FC Augsburg,2:2,CF,14',1:1,Header,Serge Gnabry,Polaco
Champions League ,Group Stage,10/22/19,Away,Bayern Munich,Olympiacos Piraeus,2:3,CF,34',1:1,Tap-in,Thomas Müller,Polaco
Champions League ,Group Stage,10/22/19,Away,Bayern Munich,Olympiacos Piraeus,2:3,CF,62',1:2,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,9,10/26/19,Home,Bayern Munich,1.FC Union Berlin,2:1,CF,53',2:0,Right-footed shot,Not Applicable,Polaco
Bundesliga ,10,11/2/19,Away,Bayern Munich,Eintracht Frankfurt,5:1,CF,37',2:1,Right-footed shot,Alphonso Davies,Polaco
Champions League ,Group Stage,11/6/19,Home,Bayern Munich,Olympiacos Piraeus,2:0,CF,69',1:0,Right-footed shot,Kingsley Coman,Polaco
Bundesliga ,11,11/9/19,Home,Bayern Munich,Borussia Dortmund,4:0,CF,17',1:0,Header,Benjamin Pavard,Polaco
Bundesliga ,11,11/9/19,Home,Bayern Munich,Borussia Dortmund,4:0,CF,76',3:0,Right-footed shot,Thomas Müller,Polaco
Champions League ,Group Stage,11/26/19,Away,Bayern Munich,Red Star Belgrade,0:6,CF,53',0:2,Penalty,Not Applicable,Polaco
Champions League ,Group Stage,11/26/19,Away,Bayern Munich,Red Star Belgrade,0:6,CF,60',0:3,Tap-in,Corentin Tolisso,Polaco
Champions League ,Group Stage,11/26/19,Away,Bayern Munich,Red Star Belgrade,0:6,CF,64',0:4,Header,Benjamin Pavard,Polaco
Champions League ,Group Stage,11/26/19,Away,Bayern Munich,Red Star Belgrade,0:6,CF,67',0:5,Right-footed shot,Ivan Perisic,Polaco
Bundesliga ,15,12/14/19,Home,Bayern Munich,SV Werder Bremen,6:1,CF,45'+4,2:1,Left-footed shot,Philippe Coutinho,Polaco
Bundesliga ,15,12/14/19,Home,Bayern Munich,SV Werder Bremen,6:1,CF,72',4:1,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,16,12/18/19,Away,Bayern Munich,SC Freiburg,1:3,CF,16',0:1,Right-footed shot,Alphonso Davies,Polaco
Bundesliga ,18,1/19/20,Away,Bayern Munich,Hertha BSC,0:4,CF,73',0:2,Penalty,Not Applicable,Polaco
Bundesliga ,19,1/25/20,Home,Bayern Munich,FC Schalke 04,5:0,CF,6',1:0,Right-footed shot,Ivan Perisic,Polaco
Bundesliga ,20,2/1/20,Away,Bayern Munich,1.FSV Mainz 05,1:3,CF,8',0:1,Header,Benjamin Pavard,Polaco
DFB-Pokal ,Round of 16,2/5/20,Home,Bayern Munich,TSG 1899 Hoffenheim,4:3,CF,36',3:1,Header,Thomas Müller,Polaco
DFB-Pokal ,Round of 16,2/5/20,Home,Bayern Munich,TSG 1899 Hoffenheim,4:3,CF,80',4:1,Header,Joshua Kimmich,Polaco
Bundesliga ,22,2/16/20,Away,Bayern Munich,1. FC Köln,1:4,CF,3',0:1,Left-footed shot,Thomas Müller,Polaco
Bundesliga ,23,2/21/20,Home,Bayern Munich,SC Paderborn 07,3:2,CF,70',2:1,Right-footed shot,Serge Gnabry,Polaco
Bundesliga ,23,2/21/20,Home,Bayern Munich,SC Paderborn 07,3:2,CF,88',3:2,Right-footed shot,Serge Gnabry,Polaco
Champions League ,last 16,2/25/20,Away,Bayern Munich,Chelsea FC,0:3,CF,76',0:3,Right-footed shot,Alphonso Davies,Polaco
