Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist,Nacionalidad
Ekstraklasa ,19,3/6/10,Home,Lech Poznan,Cracovia,3:1,Not Applicable,37',2:1,Tap-in,Slawomir Peszko,Polaco
Ekstraklasa ,21,3/21/10,Home,Lech Poznan,Jagiellonia Bialystok,2:0,Not Applicable,27',1:0,Header,Dimitrije Injac,Polaco
Ekstraklasa ,27,5/2/10,Away,Lech Poznan,Slask Wroclaw,0:3,Not Applicable,23',0:1,Header,Sergey Krivets,Polaco
Ekstraklasa ,27,5/2/10,Away,Lech Poznan,Slask Wroclaw,0:3,Not Applicable,57',0:3,Left-footed shot,Slawomir Peszko,Polaco
Ekstraklasa ,28,5/8/10,Home,Lech Poznan,Polonia Bytom,3:0,Not Applicable,34',3:0,Left-footed shot,Slawomir Peszko,Polaco
Ekstraklasa ,29,5/11/10,Away,Lech Poznan,Ruch Chorzow,1:2,Not Applicable,69',1:1,Left-footed shot,Grzegorz Wojtkowiak,Polaco
Ekstraklasa ,30,5/15/10,Home,Lech Poznan,Zaglebie Lubin,2:0,Not Applicable,58',2:0,Right-footed shot,Sergey Krivets,Polaco
Bundesliga ,4,9/19/10,Away,Borussia Dortmund,FC Schalke 04,1:3,CF,86',0:3,Header,Nuri Sahin,Polaco
Bundesliga ,5,9/22/10,Home,Borussia Dortmund,1.FC Kaiserslautern,5:0,Not Applicable,75',4:0,Right-footed shot,Jakub Blaszczykowski,Polaco
Bundesliga ,11,11/7/10,Away,Borussia Dortmund,Hannover 96,0:4,Not Applicable,81',0:3,Right-footed shot,Jakub Blaszczykowski,Polaco
Bundesliga ,13,11/20/10,Away,Borussia Dortmund,SC Freiburg,1:2,SS,75',1:1,Header,Marcel Schmelzer,Polaco
Europa League ,group stage,12/2/10,Home,Borussia Dortmund,Karpaty Lviv (-2021),3:0,CF,89',3:0,Left-footed shot,Nuri Sahin,Polaco
Bundesliga ,15,12/5/10,Away,Borussia Dortmund,1.FC Nuremberg,0:2,CF,88',0:2,Left-footed shot,Not Applicable,Polaco
Bundesliga ,25,3/4/11,Home,Borussia Dortmund,1. FC Köln,1:0,SS,44',1:0,Left-footed shot,Mario Götze,Polaco
Bundesliga ,30,4/17/11,Home,Borussia Dortmund,SC Freiburg,3:0,CF,43',2:0,Right-footed shot,Not Applicable,Polaco
Bundesliga ,32,4/30/11,Home,Borussia Dortmund,1.FC Nuremberg,2:0,SS,43',2:0,Right-footed shot,Mats Hummels,Polaco
