M2,AMBIENTES,ANTIGUEDAD,BAÑOS,LATITUD,LONGITUD,COMUNA,DOLARES
47,2,5,1,-34.572767682590836,-58.48534997913797,COMUNA 12,113000
80,3,35,1,-34.59805996764676,-58.400591944050724,COMUNA 02,190000
35,2,7,1,-34.60082999901681,-58.392547783033784,COMUNA 01,107000
76,3,20,1,-34.64594974343245,-58.43444662152781,COMUNA 07,75000
209,5,20,4,-34.58883539352284,-58.38506303612557,COMUNA 02,950000
80,3,35,1,-34.59805996764676,-58.400591944050724,COMUNA 02,190000
104,4,40,1,-34.58895874442014,-58.407368055426815,COMUNA 02,240000
130,5,50,1,-34.6092817757297,-58.38482569313625,COMUNA 01,230000
225,5,60,2,-34.574699849243764,-58.418830562500716,COMUNA 14,1250000
197,5,20,3,-34.577917850966195,-58.414490442088706,COMUNA 14,550000
197,5,20,3,-34.577917850966195,-58.414490442088706,COMUNA 14,550000
197,5,20,3,-34.577917850966195,-58.414490442088706,COMUNA 14,550000
74,3,7,2,-34.619764640045716,-58.445127802917135,COMUNA 06,249000
42,2,4,1,-34.592816206801466,-58.44653189552589,COMUNA 15,85000
85,3,6,2,-34.612305547693005,-58.443154119495624,COMUNA 06,260000
32,2,8,1,-34.58467859300891,-58.411862587079106,COMUNA 14,120000
63,3,20,1,-34.55149928360135,-58.46464532540431,COMUNA 13,143000
66,3,15,1,-34.563354177084705,-58.463580567088925,COMUNA 13,210000
84,4,20,2,-34.59022097036942,-58.42409588853856,COMUNA 14,165000
90,3,50,1,-34.595599758424825,-58.39318856116805,COMUNA 02,300000
43,2,20,1,-34.55102634299305,-58.46370710010558,COMUNA 13,124000
212,5,65,3,-34.58419413852173,-58.41418579876625,COMUNA 14,540000
92,4,50,2,-34.6184812362865,-58.43944823777964,COMUNA 06,160000
30,2,40,1,-34.5872873420469,-58.40755328500443,COMUNA 02,97000
120,4,40,2,-34.57445633400187,-58.434449941628046,COMUNA 14,320000
90,3,40,2,-34.57445633400187,-58.434449941628046,COMUNA 14,260000
65,2,6,1,-34.61262559103424,-58.42346266126668,COMUNA 05,124500
95,3,3,2,-34.55393063886748,-58.43817764361138,COMUNA 13,360000
64,1,5,1,-34.55654625109963,-58.449700133967,COMUNA 13,115000
81,3,46,1,-34.616841680343924,-58.39314116836407,COMUNA 03,145000
76,3,8,2,-34.563063592281075,-58.46751314223089,COMUNA 13,225000
